	Январь	Февраль	Март	Апрель	Май	Июнь	Июль	Август	Сентябрь	Октябрь	Ноябрь	Декабрь	Среднегодовое
MK_trend_005	0	1	1	0	0	0	1	1	0	0	0	0	1
MK_trend_01	1	1	1	0	0	1	1	1	0	0	0	0	1
THEIL_S	0.069	0.049	0.078	0.036	-0.056	0.055	0.093	0.073	0.053	0.004	0.001	0.009	0.080
Change	3.12	2.21	2.60	3.49	-2.52	2.46	4.19	3.27	1.97	-0.14	0.05	0.41	3.69
Change_proc	42.9	32.4	34.7	15.8	-23.6	31.1	51.9	42.1	28.6	-2.09	0.519	5.3	40.7
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	1	1	1	1	1	1	1	1	2	1	1	1	2
Obs	46	46	46	46	46	46	46	46	45	46	46	46	45
Mean	6.951	6.157	7.828	30.014	11.736	4.725	4.306	4.441	5.135	6.015	9.718	8.234	8.827
MK_trend_005	1	1	1	0	0	1	0	0	0	0	0	0	1
MK_trend_01	1	1	1	0	0	1	0	0	0	0	0	0	1
THEIL_S	0.078	0.090	0.090	-0.034	-0.025	0.057	0.020	0.018	0.027	0.007	0.005	0.072	0.078
Change	3.59	4.14	3.14	-1.51	-0.82	2.61	0.91	0.83	1.09	0.32	0.24	3.31	3.13
Change_proc	51.7	67.2	40.1	-5.02	-6.97	55.2	21.1	18.7	21.2	5.4	2.48	40.2	35.5
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	10	10	10	10	10	10	10	10	10	10	10	11	11
Obs	37	37	37	37	37	37	37	37	37	37	37	36	36
Mean	5.535	5.208	7.606	31.772	10.864	4.475	3.474	4.025	4.304	5.681	8.884	6.339	8.333
MK_trend_005	1	1	1	0	0	0	0	0	0	0	0	0	0
MK_trend_01	1	1	1	0	0	0	0	0	0	0	0	0	0
THEIL_S	0.079	0.079	0.178	-0.091	-0.008	0.048	0.007	0.002	0.002	0.005	0.020	-0.004	0.036
Change	2.93	3.02	6.59	-3.35	-0.30	2.65	0.24	0.06	-0.24	-0.69	0.73	-0.04	0.51
Change_proc	53.0	57.9	86.7	-10.6	-2.79	59.3	6.97	1.43	-5.68	-12.1	8.25	-0.588	6.09
Start	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970
End	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
N_obs	47	47	47	47	47	47	47	47	47	47	47	47	47
N_miss	19	19	19	19	19	19	19	19	20	20	20	20	20
